a,E2,kinetic,potential,phi
0.001,405000000.6750445,-409294846.9145174,204647424.13230324,nan
0.008866141732283464,466532.26319395815,75596847.03223193,-37798422.84106594,nan
0.01673228346456693,68391.55033927159,89031.64394201583,-44515.14691505715,nan
0.024598425196850397,21410.04881083467,9312.778689786765,-4655.714282530841,nan
0.03246456692913386,9287.924974473113,2085.9466194004417,-1042.29824041051,nan
0.040330708661417324,4836.480454688507,670.5171004313755,-334.58347344279275,nan
0.048196850393700794,2830.9036186985877,267.6508150478229,-133.1503226681415,nan
0.05606299212598426,1797.432375036828,123.59200829362699,-61.12091056153361,nan
0.06392913385826772,1211.693475326206,63.397660937078726,-31.023727456677623,nan
0.07179527559055118,855.2454783539931,35.216111939265005,-16.932942779965096,nan
0.07966141732283465,626.022489036055,20.823230315884175,-9.736490981139868,nan
0.08752755905511811,471.9686375427142,12.948971310907638,-5.79934961988247,nan
0.09539370078740159,364.63231539720084,8.393580563819736,-3.521641449176273,nan
0.10325984251968505,287.5656763264765,5.6333953149461475,-2.1415350177110057,nan
0.11112598425196851,230.80816052323308,3.8944577313771522,-1.2720513325783696,nan
0.11899212598425198,188.08720631920667,2.7618026438245704,-0.7057077274311707,nan
0.12685826771653544,155.31856332624648,2.0024916988364954,-0.32603493832044295,nan
0.13472440944881892,129.7649721467112,1.4804973171334805,-0.06501908259528544,nan
0.14259055118110237,109.54510674218074,1.1136063068001185,0.11844653476433376,nan
0.15045669291338584,93.33690515752977,0.8506069824362006,0.24996786182509012,nan
0.1583228346456693,80.1928313492506,0.658734377897017,0.34592749356876534,nan
0.16618897637795277,69.42171319566647,0.5165196117235971,0.4170599893955189,nan
0.17405511811023622,60.51133611808485,0.40959096815742196,0.47055133280776873,nan
0.1819212598425197,53.07663590271348,0.3281399197130428,0.5113059202802941,nan
0.18978740157480317,46.82434697437831,0.26535378384491753,0.5427302330398623,nan
0.19765354330708662,41.52845195418922,0.21642440241698369,0.5672284973898859,nan
0.2055196850393701,37.01285715343087,0.1779082852971621,0.5865226129080479,nan
0.21338582677165355,33.138986724673515,0.1473058715301826,0.6018625217778153,nan
0.22125196850393702,29.796778576283074,0.12278011791130486,0.6141669143289051,nan
0.22911811023622047,26.89806762695758,0.10296529966292481,0.6241188284210984,nan
