z,observable,parameter,sensitivity,abs_sensitivity
2.0,Hz,alpha,0.0,0.0
2.0,fσ8,alpha,-0.764348249891113,0.764348249891113
0.1,Hz,z_peak,0.0,0.0
0.1,fσ8,z_peak,0.010359933556077231,0.010359933556077231
0.2,Hz,z_peak,0.0,0.0
0.2,fσ8,z_peak,0.012174503589102386,0.012174503589102386
0.3,Hz,z_peak,0.0,0.0
0.3,fσ8,z_peak,0.013952761131565045,0.013952761131565045
0.4,Hz,z_peak,0.0,0.0
0.4,fσ8,z_peak,0.01563042625724421,0.01563042625724421
0.5,Hz,z_peak,0.0,0.0
0.5,fσ8,z_peak,0.017145410391319303,0.017145410391319303
0.6,Hz,z_peak,0.0,0.0
0.6,fσ8,z_peak,0.018439619581509158,0.018439619581509158
0.8,Hz,z_peak,0.0,0.0
0.8,fσ8,z_peak,0.020161680277075357,0.020161680277075357
1.0,Hz,z_peak,0.0,0.0
1.0,fσ8,z_peak,0.020462057267104976,0.020462057267104976
1.5,Hz,z_peak,0.0,0.0
1.5,fσ8,z_peak,0.014154817285368031,0.014154817285368031
2.0,Hz,z_peak,0.0,0.0
2.0,fσ8,z_peak,0.0,0.0
0.1,Hz,width,0.0,0.0
0.1,fσ8,width,-0.016403228023446837,0.016403228023446837
0.2,Hz,width,0.0,0.0
0.2,fσ8,width,-0.018261755319517427,0.018261755319517427
0.3,Hz,width,0.0,0.0
0.3,fσ8,width,-0.019766411594068774,0.019766411594068774
0.4,Hz,width,0.0,0.0
0.4,fσ8,width,-0.02084056839661325,0.02084056839661325
0.5,Hz,width,0.0,0.0
0.5,fσ8,width,-0.021431763109554636,0.021431763109554636
0.6,Hz,width,0.0,0.0
0.6,fσ8,width,-0.02151288969660895,0.02151288969660895
0.8,Hz,width,0.0,0.0
0.8,fσ8,width,-0.020161680564141974,0.020161680564141974
1.0,Hz,width,0.0,0.0
1.0,fσ8,width,-0.017051714719575436,0.017051714719575436
1.5,Hz,width,0.0,0.0
1.5,fσ8,width,-0.005897840705573279,0.005897840705573279
2.0,Hz,width,0.0,0.0
2.0,fσ8,width,0.0,0.0
0.1,Hz,beta,9.530898815578057,9.530898815578057
0.1,fσ8,beta,0.0,0.0
0.2,Hz,beta,10.294181114759581,10.294181114759581
0.2,fσ8,beta,0.0,0.0
0.3,Hz,beta,11.006263021578143,11.006263021578143
0.3,fσ8,beta,0.0,0.0
0.4,Hz,beta,11.65869758364068,11.65869758364068
0.4,fσ8,beta,0.0,0.0
0.5,Hz,beta,12.245039436275245,12.245039436275245
0.5,fσ8,beta,0.0,0.0
0.6,Hz,beta,12.760359826349763,12.760359826349763
0.6,fσ8,beta,0.0,0.0
0.8,Hz,beta,13.563545062250906,13.563545062250906
0.8,fσ8,beta,0.0,0.0
1.0,Hz,beta,14.047223752805458,14.047223752805458
1.0,fσ8,beta,0.0,0.0
1.5,Hz,beta,13.82532110107558,13.82532110107558
1.5,fσ8,beta,0.0,0.0
2.0,Hz,beta,11.79849753425476,11.79849753425476
2.0,fσ8,beta,0.0,0.0
