z,growth_sum,expansion_sum,R,dominant_regime
0.1,1.928256413339153,88.39238159363109,0.021814735371697095,expansion_dominated
0.2,1.962241798002033,97.8982628443157,0.020043683524012066,expansion_dominated
0.3,1.9767145978699747,108.15300179647495,0.01827702019394513,expansion_dominated
0.4,1.9779848667514783,119.06864719112947,0.016612138572267413,expansion_dominated
0.5,1.9713915593678593,130.56577476829543,0.015098838595844233,expansion_dominated
0.6,1.9610329787458496,142.5754409932018,0.01375435323983561,expansion_dominated
0.8,1.939392036606337,167.909301651229,0.011550235856705027,expansion_dominated
1.0,1.9243572201715993,194.71588365850732,0.009882898015379817,expansion_dominated
1.5,1.9106001206952044,266.83587075376084,0.00716020719140239,expansion_dominated
2.0,1.8716960548249897,345.12291163286125,0.005423273830095865,expansion_dominated
