dataset_id,block,dataset_source,covariance_mode,effective_decision,has_full_covariance,has_diagonal_sigma
real_hz,Hz,unknown,diagonal,diag,False,True
real_bao,DV_over_rs,unknown,diagonal,diag,False,True
