model,chi2,AIC,AICc,BIC,N,k,dof,chi2_Hz,chi2_DESI_DR2_BAO,chi2_fsigma8,chi2_CMB_shift,H0,Om,OL,Ob_h2,sigma8,w,w0,wa,Os0,zt,wt
LCDM_joint_real,93.95354560099567,103.95354560099567,104.98802835961635,114.74796101779403,64,5,59,28.689146678458307,19.07091845950121,23.66253932342459,22.530941139611556,60.00000063178996,0.3503201008429801,0.9136504178095255,0.022872788797639595,0.6150485187669168,nan,nan,nan,nan,nan,nan
wCDM_joint_real,92.79427056355686,104.79427056355686,106.26795477408318,117.74756906371489,64,6,58,28.258331520090362,15.463676477799806,22.64875516585215,26.423507399814547,60.0,0.34919655279051753,0.8834497383304587,0.0229115351627258,0.6155086296600447,-0.966834665064835,nan,nan,nan,nan,nan
CPL_w0waCDM_joint_real,63.119554616395284,77.11955461639528,79.11955461639528,92.23173619991299,64,7,57,20.49695533658436,11.122948121040453,18.805525163391785,12.694125995378686,60.151105071543775,0.35154565089251294,0.6601205008594014,0.022739101387779917,0.6227661015511812,nan,-0.30051397418196235,-1.8230601347523976,nan,nan,nan
RLL_joint_real,93.95983068903539,109.95983068903539,112.57801250721721,127.23089535591276,64,8,56,28.70658045782483,19.198725661654947,23.654558176474517,22.399966393081083,60.00304290371374,0.3503449701210798,0.9131849509974717,0.022873041854710837,0.6156702423950631,nan,nan,nan,0.0,6.006796735267388,0.7806099951360136
