parameter,H0,Ol,Om,alpha,beta,gamma,sigma8,width,z_peak
H0,1.0,0.9863481248170806,0.9984203246328707,0.9870798904060015,0.9983069682049659,0.9831217376487775,-0.9961992521281585,0.9896721872978016,-0.9965057411779003
Ol,0.9863481248170806,1.0,0.9755376836050129,0.9870036026409161,0.9942563564172137,0.983302701889271,-0.9962179251142691,0.9898138661776101,-0.9965384877979492
Om,0.9984203246328707,0.9755376836050129,1.0,0.9809488743980731,0.9934619439014356,0.9769276378873338,-0.9899789526643675,0.9834506322106346,-0.9902787280840571
alpha,0.9870798904060015,0.9870036026409161,0.9809488743980731,1.0,0.990183133257565,0.9546082553205593,-0.9938315610765622,0.9674899121244624,-0.9918716545264148
beta,0.9983069682049659,0.9942563564172137,0.9934619439014356,0.990183133257565,1.0,0.9862125366147256,-0.9993311649935173,0.9927835799727752,-0.9996386176025028
gamma,0.9831217376487775,0.983302701889271,0.9769276378873338,0.9546082553205593,0.9862125366147256,1.0,-0.9817529763189714,0.9989065740074609,-0.9847498160463202
sigma8,-0.9961992521281585,-0.9962179251142691,-0.9899789526643675,-0.9938315610765622,-0.9993311649935173,-0.9817529763189714,1.0,-0.9895697060076845,0.9998645441817586
width,0.9896721872978016,0.9898138661776101,0.9834506322106346,0.9674899121244624,0.9927835799727752,0.9989065740074609,-0.9895697060076845,1.0,-0.9918066380464838
z_peak,-0.9965057411779003,-0.9965384877979492,-0.9902787280840571,-0.9918716545264148,-0.9996386176025028,-0.9847498160463202,0.9998645441817586,-0.9918066380464838,1.0
