parameter,H0,Ol,Om,alpha,beta,gamma,sigma8,width,z_peak
H0,1.0,0.9854369430966335,0.9803657155926474,0.9538406345040874,0.999781714565095,0.9852032666815821,-0.990296917288924,0.9885750267596657,-0.9743563293223343
Ol,0.9854369430966335,1.0,0.9325585161103207,0.9537905218984571,0.9819500988784589,0.9853390415912269,-0.9903257606564916,0.9885986383708738,-0.974342370576991
Om,0.9803657155926474,0.9325585161103207,1.0,0.9190622995226201,0.9839457777620947,0.9490639325087672,-0.9540955541676361,0.9524426180213161,-0.9387867883860043
alpha,0.9538406345040874,0.9537905218984571,0.9190622995226201,1.0,0.9520687208440628,0.9037028931339182,-0.9831396118339881,0.9854260466744171,-0.996485821799018
beta,0.999781714565095,0.9819500988784589,0.9839457777620947,0.9520687208440628,1.0,0.983373091846305,-0.9884572801716222,0.9867385883332556,-0.972546304432217
gamma,0.9852032666815821,0.9853390415912269,0.9490639325087672,0.9037028931339182,0.983373091846305,1.0,-0.9665682056492095,0.9627826169559577,-0.9359719305635833
sigma8,-0.990296917288924,-0.9903257606564916,-0.9540955541676361,-0.9831396118339881,-0.9884572801716222,-0.9665682056492095,1.0,-0.9998657837219869,0.9949478041335057
width,0.9885750267596657,0.9885986383708738,0.9524426180213161,0.9854260466744171,0.9867385883332556,0.9627826169559577,-0.9998657837219869,1.0,-0.9962062749570425
z_peak,-0.9743563293223343,-0.974342370576991,-0.9387867883860043,-0.996485821799018,-0.972546304432217,-0.9359719305635833,0.9949478041335057,-0.9962062749570425,1.0
