parameter,H0,Ol,Om,alpha,beta,gamma,sigma8,width,z_peak
H0,1.0,0.996495524709944,0.9986051371274178,0.9941516793479351,0.9999170609611991,0.9958273520082873,-0.9987556863305828,0.9991138990600482,-0.9977985089257438
Ol,0.996495524709944,1.0,0.9906890837212328,0.9941245154291789,0.9974901508184062,0.9958711657978813,-0.9987571190104176,0.999124855268704,-0.99779032407948
Om,0.9986051371274178,0.9906890837212328,1.0,0.9905829483947365,0.9978423121357487,0.9922077741103628,-0.9951522979899872,0.9955032071751931,-0.9942046439116894
alpha,0.9941516793479351,0.9941245154291789,0.9905829483947365,1.0,0.9946075036002481,0.9836786947292333,-0.9973490010236746,0.9952923058549871,-0.9988311887464709
beta,0.9999170609611991,0.9974901508184062,0.9978423121357487,0.9946075036002481,1.0,0.9962839445661348,-0.9992136215465286,0.9995719985185866,-0.9982560052703544
gamma,0.9958273520082873,0.9958711657978813,0.9922077741103628,0.9836786947292333,0.9962839445661348,1.0,-0.9941641353251238,0.9964867927008014,-0.9912260378840959
sigma8,-0.9987556863305828,-0.9987571190104176,-0.9951522979899872,-0.9973490010236746,-0.9992136215465286,-0.9941641353251238,1.0,-0.9997062227807424,0.9997004473471215
width,0.9991138990600482,0.999124855268704,0.9955032071751931,0.9952923058549871,0.9995719985185866,0.9964867927008014,-0.9997062227807424,1.0,-0.9988135443728977
z_peak,-0.9977985089257438,-0.99779032407948,-0.9942046439116894,-0.9988311887464709,-0.9982560052703544,-0.9912260378840959,0.9997004473471215,-0.9988135443728977,1.0
