model,chi2,AIC,BIC,N,k,datasets_used,run_name,profile_name,covariance_policy
LCDM,5.442448127800702,13.442448127800702,16.274648932209544,15,4,"hz,fsigma8",structure_d_default,structure_d_default,prefer_full
RLL_like+AGN,9.71291466400434,23.712914664004337,28.66926607171981,15,7,"hz,fsigma8",structure_d_default,structure_d_default,prefer_full
