parameter,H0,Ol,Om,alpha,beta,gamma,sigma8,width,z_peak
H0,1.0,1.0,0.9999999999999998,1.0,1.0,1.0,-1.0,1.0,-1.0
Ol,1.0,1.0,0.9999999999999999,0.9999999999999998,0.9999999999999999,1.0,-0.9999999999999999,1.0,-0.9999999999999999
Om,0.9999999999999998,0.9999999999999999,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
alpha,1.0,0.9999999999999998,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
beta,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
gamma,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
sigma8,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
width,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0
z_peak,-1.0,-0.9999999999999999,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0
