model,chi2,n_real_points,k_params,AIC,BIC,data_status
LCDM,216.57652891432042,43,2,220.57652891432042,224.09892914570756,real_non_synthetic
RLL,238.49287088182083,43,5,248.49287088182083,257.29887146028864,real_non_synthetic
