model,chi2_total,chi2_per_dof,aic,bic,mean_abs_pull_bao,mean_abs_pull_hz,falsified_bao,falsified_hz
LCDM,39.3823,0.9377,45.3823,50.8023,1.0938,0.4664,False,False
RLL,44.8893,1.1222,54.8893,63.9226,1.3744,0.4585,False,False
