a,z,delta,theta,growth_rate
0.010000000000000004,98.99999999999996,0.012693362964334683,0.012693362964334683,1.0
0.010046157902783952,98.54054173515269,0.012751952864822547,0.012751952481261548,0.9999999699213914
0.010092528860766841,98.08319448927678,0.012810813202222743,0.012810812430610028,0.999999939768639
0.010139113857366787,97.62794856312112,0.012869945224794377,0.012869944060537824,0.9999999095367904
0.010185913880541159,97.17479430199855,0.012929350186557786,0.012929348624962056,0.9999998792208652
0.010232929922807527,96.72372209558121,0.012989029347321126,0.01298902738358525,0.9999998488158104
0.010280162981264716,96.27472237769669,0.01304898397270707,0.013048981601923077,0.9999998183165832
0.010327614057613952,95.82778562612512,0.013109215334179636,0.013109212551330877,0.999999787718129
0.0103752841581801,95.3829023623973,0.013169724709071155,0.013169721509030074,0.9999997570153399
0.01042317429393301,94.94006315159359,0.013230513380609337,0.013230509758135656,0.9999997262030901
0.010471285480508961,94.49925860214391,0.013291582637944473,0.013291578587682948,0.9999996952762034
0.01051961873823219,94.0604793656285,0.013352933776176773,0.01335292929265554,0.9999996642295013
0.010568175092136542,93.62371613657969,0.013414568096383809,0.013414563174012177,0.9999996330577625
0.0106169555719872,93.18895965228455,0.013476486905648104,0.013476481538714434,0.9999996017557314
0.010665961212302528,92.75620069258846,0.013538691517084839,0.013538685699754353,0.9999995703181155
0.01071519305237601,92.32543007969959,0.013601183249869682,0.013601176976182756,0.9999995387396221
0.01076465213629829,91.89663867799415,0.013663963429266757,0.013663956693136057,0.9999995070148764
0.010814339512979316,91.46981739382281,0.013727033386656737,0.013727026181865174,0.9999994751384833
0.010864256236170586,91.04495717531772,0.013790394459565066,0.01379038677976393,0.9999994431050426
0.010914403364487492,90.62204901220059,0.01385404799169031,0.013854039830396316,0.9999994109090716
0.010964781961431773,90.20108393559163,0.013917995332932637,0.013917986683525911,0.9999993785450765
0.011015393095414067,89.78205301781925,0.01398223783942244,0.013982228695144039,0.99999934600752
0.011066237839776578,89.36494737223084,0.014046776873549075,0.01404676722749825,0.9999993132908059
0.011117317272815822,88.94975815300425,0.01411161380398974,0.014111603649122006,0.9999992803893393
0.011168632477805515,88.53647655496015,0.014176750005738495,0.014176739334862092,0.9999992472974131
0.011220184543019535,88.12509381337534,0.014242186860135392,0.014242175665909821,0.9999992140093596
0.011271974561754999,87.71560120379692,0.014307925754895773,0.014307914029828167,0.9999991805193983
0.01132400363235546,87.30799004185714,0.014373968084139668,0.014373955820582728,0.9999991468217496
0.011376272858234194,86.90225168308932,0.014440315248421359,0.014440302438570122,0.9999991129105552
0.011428783347897598,86.49837752274452,0.014506968654759051,0.014506955290648462,0.9999990787799362
0.011481536214968703,86.09635899560901,0.014573929716664711,0.014573915790166302,0.9999990444239351
0.011534532578210794,85.69618757582263,0.014641199854174017,0.014641185356993347,0.9999990098365699
0.011587773561551128,85.29785477669802,0.014708780493876462,0.014708765417550158,0.9999989750118095
0.011641260294104774,84.9013521505406,0.014776673068945588,0.014776657404837695,0.99999893994353
0.011694993910198567,84.50667128846938,0.014844879019169364,0.014844862758469107,0.9999989046256129
0.011748975549395147,84.11380382023872,0.014913399790980707,0.014913382924698846,0.9999988690518529
0.011803206356517142,83.72274141406075,0.014982236837488127,0.01498221935645392,0.9999988332160012
0.011857687481671441,83.33347577642867,0.015051391618506535,0.01505137351336426,0.99999879711174
0.011912420080273585,82.9459986519409,0.015120865600588184,0.015120846861794103,0.9999987607327137
0.011967405313072266,82.56030182312598,0.015190660257053745,0.01519064087487237,0.9999987240724862
0.012022644346173955,82.1763771102683,0.015260777068023536,0.015260757032524039,0.9999986871245542
0.012078138351067622,81.79421637123465,0.01533121752044889,0.015331196821502188,0.9999986498823935
0.012133888504649587,81.41381150130148,0.015401983108143676,0.015401961735418381,0.9999986123393887
0.012189895989248474,81.0351544329831,0.015473075331815942,0.015473053274774726,0.9999985744888625
0.01224616199265029,80.65823713586055,0.015544495699099744,0.015544472946995744,0.9999985363240829
0.012302687708123613,80.28305161641126,0.015616245724587075,0.015616222266460256,0.999998497838262
0.012359474334444898,79.90958991783958,0.01568832692985998,0.015688302754532854,0.9999984590245197
0.012416523075923898,79.53784411990804,0.015760740843522792,0.015760715939596773,0.9999984198759267
0.012473835142429212,79.16780633876931,0.015833489001234526,0.015833463357085485,0.9999983803854577
0.012531411749413935,78.79946872679909,0.015906572945741434,0.01590654654951598,0.9999983405460406
0.012589254117941442,78.4328234724296,0.015979994226909697,0.015979967066521144,0.9999983003505404
0.012647363474711277,78.06786279998398,0.01605375440175825,0.016053726464881884,0.999998259791718
0.012705741052085174,77.70457896951136,0.016127855034491816,0.01612782630856099,0.9999982188622875
0.01276438808811319,77.3429642766227,0.01620229769653401,0.01620226816873573,0.9999981775548856
0.012823305826559961,76.98301105232741,0.01627708396656067,0.016277053623830858,0.9999981358620578
0.01288249551693108,76.62471166287074,0.016352215430533307,0.01635218425955223,0.9999980937762709
0.012941958414499594,76.26805850957182,0.016427693681732698,0.016427661668920228,0.9999980512899077
0.01300169578033263,75.91304402866257,0.016503520320792664,0.01650348745230418,0.9999980083953094
0.013061708881318137,75.55966069112726,0.016579696955733976,0.01657966321745482,0.9999979650846909
0.013121998990191747,75.20790100254285,0.016656225201998442,0.016656190579538776,0.9999979213501711
0.013182567385563781,74.85775750292004,0.016733106682483127,0.016733071161173934,0.9999978771838448
0.01324341535194635,74.50922276654508,0.016810343027574743,0.01681030659246181,0.9999978325776652
0.013304544179780609,74.16228940182225,0.0168879358751842,0.016887898511023177,0.999997787523514
0.013365955165464113,73.81695005111716,0.01696588687078131,0.01696584856203262,0.9999977420131949
0.013427649611378323,73.47319739060066,0.017044197667429657,0.017044158398252643,0.999997696038395
0.013489628825916214,73.13102413009352,0.017122869925821613,0.017122829680069316,0.9999976495907245
0.013551894123510032,72.79042301291189,0.01720190531431353,0.017201864075527307,0.9999976026617128
0.013614446824659164,72.4513868157133,0.017281305508961092,0.017281263260364464,0.9999975552427676
0.013677288255958148,72.11390834834357,0.017361072193554827,0.017361028918047708,0.9999975073252022
0.013740419750124803,71.77798045368425,0.01744120705965578,0.017441162739808794,0.9999974589002449
0.013803842646028493,71.44359600750087,0.01752171180663135,0.017521666424679592,0.999997409959012
0.013867558288718522,71.11074791829185,0.017602588141691296,0.017602541679528433,0.9999973604925316
0.013931568029452663,70.77942912713807,0.01768383777992391,0.017683790219095386,0.9999973104916977
0.013995873225725805,70.44963260755326,0.017765462444332355,0.01776541376602949,0.9999972599473266
0.014060475241298756,70.12135136533483,0.017847463865871157,0.017847414050924305,0.9999972088501075
0.014125375446227153,69.79457843841574,0.017929843783482887,0.017929792812355273,0.9999971571906465
0.014190575216890525,69.46930689671666,0.018012603944135005,0.0180125517969155,0.9999971049594125
0.014256075936021477,69.14552984199912,0.018095746102856854,0.018095692759253157,0.9999970521467645
0.014321878992735022,68.82324040771914,0.018179272022776857,0.018179217462108724,0.9999969987429604
0.014387985782558035,68.5024317588817,0.018263183475159855,0.01826312767635164,0.9999969447381234
0.01445439770745885,68.18309709189569,0.01834748223944464,0.018347425181018583,0.9999968901222897
0.014521116175876989,67.86522963442967,0.018432170103281634,0.018432111763349628,0.9999968348853293
0.014588142602753044,67.54882264526823,0.018517248862570793,0.018517189218827383,0.9999967790170207
0.014655478409558668,67.23386941416905,0.018602720321499594,0.018602659351214485,0.9999967225070283
0.014723125024326732,66.92036326172057,0.01868858629258131,0.01868852397259082,0.9999966653448519
0.01479108388168161,66.6082975392003,0.018774848596693372,0.018774784903393252,0.9999966075199066
0.014859356422869598,66.29766562843392,0.018861509063115935,0.018861443972452437,0.9999965490214341
0.014927944095789483,65.9884609416548,0.01894856952957065,0.018948503017033103,0.9999964898385895
0.014996848355023247,65.68067692136438,0.019036031842259566,0.019035963882871317,0.9999964299603609
0.015066070661866925,65.37430704019306,0.019123897855904248,0.01912382842421418,0.9999963693756058
0.015135612484361578,65.0693448007618,0.019212169433785054,0.01921209850385897,0.9999963080730508
0.015205475297324446,64.76578373554426,0.019300848447780607,0.019300775993192177,0.999996246041275
0.015275660582380206,64.46361740672972,0.01938993677840743,0.019389862772229326,0.9999961832687261
0.015346169827992416,64.1628394060865,0.019479436314859783,0.01947936072965436,0.999996119743703
0.015417004529495059,63.86344335482609,0.019569348955049685,0.01956927176285931,0.9999960554543458
0.01548816618912427,63.56542290346782,0.01965967660564709,0.01965959777798508,0.9999959903886727
0.015559656316050193,63.26877173170425,0.019750421182120264,0.019750340689960635,0.9999959245345258
0.01563147642640898,62.97348354826711,0.019841584608776375,0.01984150242254388,0.9999958578795939
0.015703628043334954,62.67955209079389,0.019933168818802232,0.01993308490836246,0.9999957904114225
0.01577611269699291,62.38697112569501,0.020025175754305208,0.020025090088954242,0.9999957221173977
0.015848931924610548,62.09573444802166,0.020117607366354404,0.02011751991480813,0.999995652984737
0.015922087270511108,61.80583588133413,0.02021046561502193,0.020210376345405234,0.9999955830004912
0.015995580286146085,61.51726927757094,0.020303752469424424,0.020303661349260645,0.9999955121515633
0.016069412530128162,61.23002851691832,0.020397469907764768,0.020397376903964058,0.9999954404246639
0.01614358556826424,60.944107507680535,0.020491619917373936,0.02049152499622241,0.9999953678063566
0.01621810097358867,60.65950018615061,0.02058620449475311,0.020586107621901304,0.9999952942830316
0.016292960326396586,60.37620051648182,0.02068122564561594,0.020681126786066623,0.9999952198408831
0.016368165214277437,60.094202490559624,0.020776685384931014,0.020776584503027756,0.9999951444659536
0.016443717232148658,59.81350012787422,0.020872585736964516,0.02087248279637908,0.9999950681440846
0.016519617982289483,59.534087475393804,0.020968928735323092,0.020968823699042644,0.9999949908609175
0.01659586907437493,59.25595860743823,0.0210657164229969,0.021065609253312547,0.9999949126019643
0.016672472125509943,58.979107625553404,0.02116295085240287,0.0211628415108955,0.999994833352488
0.01674942876026368,58.70352865838616,0.02126063408542815,0.02126052253295631,0.9999947530976079
0.01682674061070397,58.429215861559754,0.021358768193473765,0.021358654390159267,0.9999946718222013
0.016904409316431928,58.15616341754989,0.021457355257498454,0.02145723916271388,0.9999945895110007
0.01698243652461672,57.8843655355614,0.02155639736806274,0.021556278940416337,0.999994506148482
0.017060823890030503,57.61381645140539,0.021655896625373174,0.021655775822695983,0.9999944217189766
0.01713957307508351,57.344510427377,0.021755855139326794,0.021755731918657432,0.9999943362065719
0.017218685749859318,57.076441752133746,0.021856275029555797,0.021856149347125896,0.9999942495951515
0.01729816359215025,56.809604740574365,0.021957158425472387,0.021957030236691634,0.9999941618683862
0.01737800828749298,56.54399373371825,0.022058507466313878,0.022058376725754864,0.999994073009735
0.017458221529204256,56.27960309858549,0.022160324301187938,0.022160190962570915,0.9999939830024502
0.017538805018416818,56.01642722807733,0.0222626110891181,0.0222624751052948,0.9999938918295453
0.017619760464115487,55.7544605408573,0.022365369999089457,0.022365231322027213,0.9999937994738183
0.017701089583173398,55.49369748123285,0.02246860321009455,0.022468461790859807,0.9999937059178348
0.017782794100388404,55.234132519037516,0.022572312911179507,0.022572168699921104,0.9999936111439279
0.017864875748519672,54.97576014951363,0.02267650130149036,0.022676354247422863,0.9999935151342114
0.01794733626832442,54.71857489319561,0.022781170590319567,0.02278102064170537,0.9999934178705346
0.018030177408594833,54.46257129579371,0.02288632299715281,0.02288617010128472,0.9999933193345166
0.018113400926195157,54.20774392807838,0.022991960751715907,0.02299180485489992,0.999993219507563
0.018197008586098958,53.9540873857651,0.023098086094022047,0.023097927141557607,0.9999931183707692
0.01828100216142654,53.701596289399816,0.023204701274419155,0.023204539210581875,0.9999930159050373
0.018365383433482572,53.450265284244765,0.02331180855363751,0.02331164332165947,0.9999929120909834
0.01845015419179384,53.20008904016502,0.0234194102028376,0.023419241744887905,0.99999280690896
0.01853531623414722,52.95106225151537,0.023527508503658152,0.02352733676082356,0.9999927003390705
0.018620871366627774,52.70317963702787,0.02363610574826443,0.02363593066052894,0.9999925923611379
0.018706821403657103,52.456435939699745,0.023745204239396703,0.023745025745621602,0.9999924829547348
0.01879316816803178,52.21082592668199,0.023854806290418973,0.023854624328321288,0.9999923720991288
0.018879913490962026,51.966344389168334,0.023964914225367926,0.023964728731499935,0.99999225977334
0.018967059212110553,51.7229861422848,0.024075530379002084,0.024075341288729388,0.9999921459560923
0.019054607179631557,51.48074602497978,0.024186657096851194,0.02418646434433041,0.999992030625811
0.01914255925020994,51.23961889991448,0.024298296735265852,0.024298100253423348,0.9999919137606785
0.019230917289100664,50.99959965335409,0.024410451661467332,0.024410251381974706,0.999991795338513
0.019319683170168318,50.76068319505924,0.024523124253597664,0.0245229201068496,0.9999916753368798
