Model,H0,Om,OL,Os0,zt,wt,Ob_h2,chi2,AIC,BIC,N_obs,k,chi2_dof,verdict
LCDM,72.2,0.2706,0.5908,-,-,-,0.026,123.681,131.681,138.908,45,4,3.017,-
RLL,60.108,0.3911,0.854,0.0014,2.192,0.464,0.026,123.968,137.968,150.615,45,7,3.262,ΛCDM preferido moderadamente ⚠️
DELTA_RLL_minus_LCDM,-,-,-,-,-,-,-,0.287,6.287,11.707,45,3,-,ΛCDM preferido moderadamente ⚠️
