z_eff,DV_over_rs,sigma,survey
0.106,2.976,0.133,6dFGS
0.15,4.466,0.168,SDSS_MGS
0.32,8.467,0.167,BOSS_DR12_LOWZ
0.57,13.773,0.134,BOSS_DR12_CMASS
0.51,13.36,0.21,DESI2024_BGS
0.706,16.85,0.32,DESI2024_LRG1
0.93,21.71,0.28,DESI2024_LRG2
1.317,27.79,0.69,DESI2024_ELG
1.491,30.21,0.79,DESI2024_QSO
2.33,36.31,1.3,BOSS_Lya
