model,regime,chi2,AIC,BIC,N,k,dof,fit_params,fixed_params,datasets_used,run_name,profile_name,covariance_policy
lcdm,partial_real,209.9667912166636,217.9667912166636,225.01159167943786,43,4,39,"H0,Om,sigma8,gamma","Ob_h2,Ol","real_hz,real_bao",structure_d_partial_real,structure_d_partial_real,prefer_full
rll_like_agn,partial_real,209.9667912166636,223.9667912166636,236.29519202651855,43,7,36,"H0,Om,sigma8,gamma,alpha,z_peak,width","Ob_h2,Ol,beta","real_hz,real_bao",structure_d_partial_real,structure_d_partial_real,prefer_full
