a,z,E2_matter,E2_de,E2_lcdm,E2_rll,f_z
0.2,4.0,37.49999999999999,0.7,38.2,40.05999233945656,0.9898795395788124
0.2170212765957447,3.6078431372549016,29.350419521903337,0.7,30.050419521903336,31.50291178301985,0.9871202827425484
0.23404255319148937,3.2727272727272725,23.40112697220135,0.7,24.101126972201346,25.256096079753835,0.9839197593514906
0.25106382978723407,2.9830508474576267,18.956964928254585,0.7,19.656964928254585,20.589588746920867,0.9802543745620764
0.2680851063829787,2.7301587301587302,15.570522741724556,0.7,16.27052274172455,17.033543955684454,0.9761036299008684
0.2851063829787234,2.507462686567164,12.944951672911891,0.7,13.64495167291189,14.276181277928353,0.9714504132846915
0.3021276595744681,2.3098591549295775,10.87801855768613,0.7,11.578018557686129,12.105045971319607,0.9662812550677864
0.3191489361702128,2.1333333333333333,9.22871111111111,0.7,9.92871111111111,10.37195422804526,0.9605865408263389
0.3361702127659575,1.974683544303797,7.896662333000023,0.7,8.59666233300002,8.971404300731283,0.9543606725376432
0.35319148936170214,1.8313253012048194,6.809113358645789,0.7,7.50911335864579,7.826908312726664,0.9476021711776029
0.3702127659574468,1.7011494252873565,5.912444590229659,0.7,6.612444590229658,6.882124497702038,0.9403137155017114
0.3872340425531915,1.5824175824175826,5.166550331687392,0.7,5.866550331687394,6.094975226732018,0.932502113817275
0.4042553191489362,1.4736842105263155,4.541026388686396,0.7,5.241026388686397,5.433662333309948,0.9241782077995302
0.4212765957446809,1.3737373737373733,4.012538918415868,0.7,4.712538918415866,4.8739079196284925,0.9153567097343654
0.43829787234042555,1.2815533980582523,3.562978218713365,0.7,4.262978218713364,4.396997159484154,0.906055976859284
0.4553191489361702,1.1962616822429908,3.17814354271646,0.7,3.8781435427164594,3.9883554307375157,0.8962977285966692
0.4723404255319149,1.1171171171171173,2.8467931042803207,0.7,3.546793104280321,3.636494585173067,0.8861067143152277
0.4893617021276596,1.043478260869565,2.559949042491986,0.7,3.2599490424919857,3.3322296253178796,0.8755103407228959
0.5063829787234042,0.9747899159663866,2.3103828778174647,0.7,3.010382877817464,3.068104697169749,0.8645382690211317
0.5234042553191489,0.910569105691057,2.0922303958316206,0.7,2.7922303958316212,2.837983128312073,0.8532219925015774
0.5404255319148936,0.8503937007874016,1.9007004549442168,0.7,2.6007004549442176,2.6367607004931415,0.841594405339535
0.5574468085106383,0.7938931297709924,1.7318527141472473,0.7,2.4318527141472472,2.4601645789110402,0.829689372963051
0.574468085106383,0.7407407407407405,1.5824264593811914,0.7,2.282426459381191,2.3046070912045726,0.8175413136063422
0.5914893617021277,0.6906474820143882,1.4497076837779292,0.7,2.1497076837779288,2.1670728992732244,0.8051847995658602
0.6085106382978724,0.6433566433566431,1.3314250666932943,0.7,2.031425066693294,2.0450269309189157,0.7926541853525794
0.625531914893617,0.5986394557823129,1.2256679709229241,0.7,1.9256679709229243,1.93633668763185,0.7799832684654519
0.6425531914893617,0.5562913907284768,1.1308213506378682,0.7,1.8308213506378685,1.8392059952727646,0.7672049869860054
0.6595744680851063,0.5161290322580647,1.045513745762143,0.7,1.7455137457621435,1.752118727165189,0.7543511566919013
0.676595744680851,0.4779874213836479,0.9685754758029187,0.7,1.668575475802919,1.6737914481029048,0.7414522489743853
0.6936170212765957,0.44171779141104284,0.8990048368099083,0.7,1.5990048368099077,1.6031339557042843,0.7285372095722834
0.7106382978723405,0.40718562874251485,0.8359406183151642,0.7,1.5359406183151638,1.5392166594422478,0.7156333170389164
0.7276595744680852,0.3742690058479532,0.7786396414071325,0.7,1.4786396414071326,1.4812437509950858,0.7027660789580457
0.7446808510638299,0.34285714285714275,0.7264583090379007,0.7,1.4264583090379004,1.428531193770893,0.6899591632268939
0.7617021276595746,0.3128491620111731,0.6788373799700416,0.7,1.3788373799700417,1.3804886724330665,0.677234361223149
0.7787234042553193,0.28415300546448075,0.6352893462937913,0.7,1.3352893462937914,1.336604770360203,0.6646115793544741
0.7957446808510638,0.25668449197860976,0.595387924185868,0.7,1.2953879241858683,1.2964347668925877,0.6521088553330733
0.8127659574468085,0.23036649214659688,0.5587592680748539,0.7,1.2587592680748538,1.259590557575454,0.6397423955002493
0.8297872340425532,0.20512820512820507,0.5250745966722298,0.7,1.2250745966722296,1.225732295796685,0.6275266296210809
0.8468085106382979,0.18090452261306522,0.4940439806669518,0.7,1.1940439806669518,1.1945614330486605,0.6154742797519763
0.8638297872340426,0.1576354679802956,0.4654110901930051,0.7,1.165411090193005,1.1658148990404196,0.6035964400301219
0.8808510638297873,0.13526570048309172,0.4389487384245518,0.7,1.138948738424552,1.1392602142090376,0.5919026645223371
0.897872340425532,0.11374407582938373,0.41445508807761083,0.7,1.1144550880776105,1.114691368055866,0.5804010605831178
0.9148936170212767,0.09302325581395343,0.39175041191341625,0.7,1.0917504119134165,1.0919253291870366,0.5690983854923676
0.9319148936170214,0.07305936073059338,0.37067431786043037,0.7,1.0706743178604305,1.07079907868906,0.5580001444603385
0.9489361702127659,0.05381165919282527,0.35108336511245214,0.7,1.0510833651124523,1.0511670789287388,0.5471106883913376
0.9659574468085106,0.03524229074889873,0.33284901030453495,0.7,1.0328490103045351,1.0328991061600679,0.5364333100822031
0.9829787234042553,0.017316017316017396,0.3158558332280714,0.7,1.0158558332280716,1.0158783883402351,0.5259703377920721
1.0,0.0,0.3,0.7,1.0,0.9999999999999998,0.5157232253540304
