z,a,H_LCDM,H_B,H_C,H_ratio_B_over_LCDM,H_ratio_C_over_LCDM,mu_LCDM,mu_B,mu_C,mu_diff_B_minus_LCDM,mu_diff_C_minus_LCDM,f_of_a
0.0,1.0,70.00314992912818,71.73172938107655,71.73172938107655,1.0246928810160456,1.0246928810160456,31.656987764358647,31.60401916943019,31.60401916943019,-0.05296859492845485,-0.05296859492845485,0.9655548043337889
0.005008347245409015,0.9950166112956811,70.16158147991212,71.88635138718855,71.88725213479056,1.0245828253995424,1.0245956635879496,33.170533005909114,33.117680900442544,33.11766731076698,-0.052852105466570265,-0.05286569514213113,0.9649952307469093
0.01001669449081803,0.9900826446280993,70.32123797596881,72.04218563087075,72.0440215518473,1.0244726586794453,1.0244987663110712,34.05932266419934,34.00658704811,34.00655957280334,-0.052735616089343296,-0.05276309139600244,0.9644269016140413
0.015025041736227044,0.9851973684210527,70.48211896291164,72.19923194537479,72.20203836740154,1.024362391592777,1.0244022090963942,34.69228841389197,34.6396692805928,34.63962761937559,-0.05261913329917434,-0.05266079451638461,0.9638496908923714
0.02003338898163606,0.9803600654664485,70.64422392685142,72.35749010452979,72.36130327561871,1.0242520348082862,1.0243060119188971,35.18504984546452,35.132547181914056,35.132491030144095,-0.05250266355046307,-0.052558815320423946,0.9632634710829088
0.025041736227045076,0.97557003257329,70.80755229516132,72.5169598234234,72.52181693063417,1.0241415989234655,1.024210194815476,35.58910733088134,35.53672111763297,35.53665016626649,-0.05238621324836856,-0.05245716461485017,0.9626681132257274
0.030050083472454088,0.9708265802269043,70.9721034372463,72.67764075908897,72.6835799475197,1.0240310944616529,1.0241147778829283,35.931933004284325,35.87966321553675,35.879577151089606,-0.05226978874757293,-0.052355853194718804,0.9620634868956662
0.035058430717863104,0.9661290322580645,71.13787666531717,72.83953251119804,72.84659290325686,1.0239205318692133,1.024019781275996,36.22992550871072,36.17777211235958,36.177670616868454,-0.052153396351144465,-0.05225489184226717,0.9614494601985053
0.04006677796327212,0.9614767255216693,71.30487123516812,73.00263462275801,73.0108563377168,1.0238099215128031,1.0239252252054734,36.4936625019115,36.44162545960213,36.44150821058579,-0.05203704230937234,-0.052154291325713587,0.9608258997676411
0.045075125208681135,0.9568690095846645,71.47308634695855,73.16694658081471,73.17637075464572,1.0236992736767165,1.0238311299363616,36.73036650728931,36.67844577447066,36.678312444891226,-0.05192073281865106,-0.052054062398084966,0.9601926707612792
0.05008347245409015,0.9523052464228935,71.64252114599752,73.33246781715928,73.34313662265606,1.0235885985603144,1.023737515786092,36.945189210619375,36.89338473659892,36.893234994823196,-0.05180447402045729,-0.051954215796179426,0.9595496368601696
0.05509181969949917,0.9477848101265822,71.81317472353147,73.4991977090394,73.51115437622245,1.0234779062755381,1.0236444031227963,37.14193456421241,37.090246292212136,37.09007980197302,-0.051688272000276925,-0.05185476223939389,0.9588966602659009
0.060100166944908176,0.9433070866141733,71.98504611753438,73.6671355798741,73.68042441668246,1.0233672068445059,1.0235518123636391,37.3234914563092,37.27191932352256,37.27173574388046,-0.05157213278663875,-0.051755712428736445,0.9582336016997816
0.0651085141903172,0.938871473354232,72.15813431350013,73.83628069997246,73.85094711324103,1.0232565101971929,1.0234597639731962,37.49210557918761,37.44064951683745,37.44044850214186,-0.05145606235015521,-0.05165707704574629,0.9575603204023284
0.07011686143572621,0.9344773790951638,72.33243824523669,74.00663228725504,74.0227228039789,1.0231458261691961,1.0233682784618907,37.64955727451187,37.59821720790924,37.59799840776034,-0.05134006660263424,-0.05155886675152743,0.9568766741333846
0.07512520868113523,0.9301242236024846,72.50795679566198,74.17818950797859,74.19575179686372,1.0230351644995812,1.0232773763844731,37.79728186429749,37.74605771290134,37.74582077211175,-0.05122415139614844,-0.05146109218573969,0.9561825191728947
0.08013355592654424,0.9258114374034004,72.68468879760069,74.350951477463,74.37003437076422,1.022924534828817,1.023187078338556,37.93645343781457,37.885345115292345,37.88508967384894,-0.05110832252222508,-0.05136376396563236,0.9554777103223573
0.08514190317195325,0.9215384615384614,72.86263303458219,74.5249172608208,74.54557077646605,1.0228139466967885,1.0230974049631874,38.06804465318402,38.017052067472974,38.016777760498854,-0.05099258571104315,-0.05126689268516316,0.9547621009069834
0.09015025041736227,0.9173047473200612,73.04178824163883,74.70008587368831,74.7223612376897,1.022703409540898,1.0230083769374752,38.19287034877731,38.141993402146625,38.141699859863245,-0.050876946630687314,-0.05117048891406739,0.9540355427785844
0.09515859766277128,0.913109756097561,73.2221531061046,74.87645628295869,74.90040595210925,1.0225929326942471,1.0229200149792472,38.31161995518458,38.26085854429823,38.26054539198762,-0.05076141088635211,-0.051074563196962686,0.9532978863192157
0.1001669449081803,0.9089529590288316,73.40372626841359,75.0540274075162,75.0797050923721,1.022482525383902,1.0228323398437567,38.424881991033295,38.37423600701357,38.373902864980785,-0.050645984019723755,-0.05097912605251054,0.9525489804456029
0.10517529215358931,0.904833836858006,73.5865063228982,75.2327981189716,75.2602588071184,1.0223721967292407,1.022745372322417,38.53316285509306,38.48263218358481,38.48227866712048,-0.050530671508248304,-0.05088418797257788,0.9517886726143775
0.11018363939899833,0.9007518796992481,73.77049181858648,75.41276724239825,75.4420672220006,1.0222619557403845,1.0226591332415784,38.63690143770031,38.586485958935725,38.586111678278876,-0.05041547876458452,-0.050789759421434155,0.9510168088281503
0.11519198664440734,0.8967065868263473,73.9556812599987,75.59393355706874,75.6251304407019,1.0221518113167074,1.022573643461333,38.73648062021473,38.686180209078756,38.685784769379794,-0.0503004111359715,-0.05069585083493422,0.9502332336424486
