z,H_ratio_central,H_ratio_min,H_ratio_max,dmu_central,dmu_min,dmu_max
2.0834724540901504,1.0725606617125376,1.0577152255128737,1.0881036508574577,-0.07578652154195709,-0.09920633299481096,-0.05598664872914583
2.0884808013355594,1.0726148561825524,1.0577936641822334,1.0881445778453676,-0.07588456177889924,-0.09931417854546964,-0.056079180525586025
2.0934891485809684,1.0726684730247351,1.0578713570558358,1.088185128746768,-0.07598226728936197,-0.09942160769163877,-0.05617140173131929
2.0984974958263773,1.0727215191842505,1.0579483098995008,1.0882253084587366,-0.07607963890708902,-0.09952862242025873,-0.056263312710925106
2.1035058430717863,1.072774001532265,1.0580245284814855,1.088265121804313,-0.0761766774790047,-0.09963522471358033,-0.056354913855940936
2.1085141903171953,1.07282592686625,1.0581000185710057,1.0883045735335992,-0.07627338386487992,-0.0997414165490369,-0.056446205584173015
2.1135225375626043,1.072877301910299,1.0581747859367958,1.0883436683248426,-0.07636975893681353,-0.09984719989901691,-0.05653718833895027
2.1185308848080133,1.0729281333154688,1.0582488363457094,1.0883824107855082,-0.07646580357886279,-0.09995257673069347,-0.05662786258828589
2.1235392320534223,1.0729784276601266,1.0583221755613532,1.0884208054533395,-0.07656151868667394,-0.10005754900593189,-0.056718228824195194
2.1285475792988313,1.0730281914503215,1.0583948093427613,1.0884588567974045,-0.07665690516705581,-0.10016211868108371,-0.05680828756197798
2.1335559265442403,1.0730774311201654,1.058466743443107,1.088496569219131,-0.07675196393756067,-0.10026628770681612,-0.05689803933944404
2.1385642737896493,1.0731261530322285,1.0585379836084479,1.0885339470533284,-0.07684669592619997,-0.10037005802803378,-0.05698748471633053
2.1435726210350583,1.0731743634779491,1.0586085355765091,1.0885709945691981,-0.07694110207097538,-0.10047343158370836,-0.05707662427350613
2.1485809682804673,1.0732220686780547,1.058678405075501,1.0886077159713288,-0.07703518331955195,-0.10057641030672926,-0.05716545861236
2.1535893155258763,1.0732692747829948,1.0587475978229717,1.0886441154006834,-0.0771289406289597,-0.10067899612380415,-0.057253988354169394
2.1585976627712853,1.073315987873386,1.058816119524695,1.0886801969355688,-0.07722237496514595,-0.10078119095533111,-0.05734221413943885
2.1636060100166943,1.0733622139604655,1.0588839758735897,1.088715964592597,-0.07731548730269111,-0.100882996715292,-0.0574301366272465
2.1686143572621033,1.073407958986556,1.0589511725486747,1.0887514223276322,-0.07740827862450317,-0.10098441531108904,-0.05751775649473245
2.1736227045075123,1.0734532288255412,1.0590177152140547,1.0887865740367264,-0.07750074992141975,-0.10108544864353775,-0.05760507443634566
2.1786310517529217,1.0734980292833454,1.0590836095179408,1.0888214235570395,-0.07759290219194526,-0.10118609860664662,-0.057692091163424664
2.1836393989983307,1.0735423660984265,1.0591488610916988,1.0888559746677533,-0.07768473644190976,-0.10128636708762428,-0.0577788074035297
2.1886477462437397,1.0735862449422742,1.059213475548934,1.088890231090968,-0.07777625368417773,-0.10138625596670181,-0.05786522389989557
2.1936560934891487,1.0736296714199136,1.0592774584846,1.0889241964925878,-0.07786745493834246,-0.10148576711712565,-0.05795134141094138
2.1986644407345577,1.07367265107042,1.0593408154741455,1.088957874483197,-0.07795834123043477,-0.10158490240498708,-0.058037160709645264
