model,H0,Om,k,AIC,BIC,dAIC_LCDM,dBIC_LCDM,interpretation
LCDM,67.77,0.275,2,172.4,176.1,0,0,reference
CPL,72.39,0.274,4,170.2,177.6,-2.20,+1.50,AIC slightly favors CPL
RLL,65.51,0.021,7,173.2,186.1,+0.80,+10.05,AIC equiv; BIC favors LCDM
