record_id,module,body_system,central_body,orbit_frame,mu_central_km3_s2,semi_major_axis_km,eccentricity,body_mass_kg,body_mu_km3_s2,radius_reference_km,equatorial_radius_km,polar_radius_km,flattening,j2,rotation_period_s,normalized_moment_inertia,source_reference,source_reference_url,status,claim_allowed
REAL_ORBIT_EARTH_HELIOCENTRIC_SHAPE_AM_V1,orbital_shape_angular_momentum,Earth,Sun,heliocentric,132712440041.939,149597870.7,0.0167086,5.9722e24,398600.435507,6378.137,6378.137,6356.752,0.0033528106647474805,0.00108262668,86164.0905,0.3307,NASA/JPL/IAU/WGS84 reference seed pointers,https://science.nasa.gov/earth/facts/,external_only_seed,false
REAL_ORBIT_MOON_GEOCENTRIC_SHAPE_AM_V1,orbital_shape_angular_momentum,Moon,Earth-Moon barycentric context,geocentric,403503.235573,384400,0.0549,7.342e22,4902.800066,1737.4,1738.1,1736.0,0.0012082164432424975,,2360591.5104,0.393,NASA/JPL lunar reference seed pointers,https://science.nasa.gov/moon/facts/,external_only_seed,false
REAL_ORBIT_MARS_HELIOCENTRIC_SHAPE_AM_V1,orbital_shape_angular_momentum,Mars,Sun,heliocentric,132712440041.939,227939200,0.0934,6.4171e23,42828.375214,3396.2,3396.2,3376.2,0.005888934691714272,0.00196045,88642.6848,0.3662,NASA/JPL planetary reference seed pointers,https://science.nasa.gov/mars/facts/,external_only_seed,false
REAL_ORBIT_JUPITER_HELIOCENTRIC_SHAPE_AM_V1,orbital_shape_angular_momentum,Jupiter,Sun,heliocentric,132712440041.939,778479000,0.0489,1.89813e27,126686534,71492,71492,66854,0.06487439153975214,0.01469643,35729.704,0.264,NASA/JPL planetary reference seed pointers,https://science.nasa.gov/jupiter/facts/,external_only_seed,false
