zt,chi2_hz,chi2_bao,chi2_total
0.3,27.013567790037577,31.08419419995016,58.09776198998774
0.5,27.074964924885276,32.39922181372451,59.47418673860979
0.7,27.20205336436907,34.001749921052394,61.203803285421465
0.9,27.37637920269601,35.597821024055186,62.974200226751194
1.0,27.465057877292747,36.2927073454412,63.75776522273395
1.2,27.604955059847885,37.338739575385524,64.94369463523341
1.5,27.602819613518022,37.9468044371028,65.54962405062082
1.8,27.183012793991026,37.421253817104414,64.60426661109544
2.0,26.606326770114986,36.45960835185658,63.06593512197156
